,open,high,low,close,volume
2023-07-05 00:00:00+00:00,1.08827,1.08908,1.08825,1.08867,6587.11
2023-07-05 01:00:00+00:00,1.08866,1.0887,1.08762,1.08769,10002.48
2023-07-05 02:00:00+00:00,1.08769,1.08783,1.0875,1.08781,8055.27
2023-07-05 03:00:00+00:00,1.08782,1.08792,1.08751,1.08773,6375.13
2023-07-05 04:00:00+00:00,1.08774,1.08775,1.0875,1.08756,6637.81
2023-07-05 05:00:00+00:00,1.08755,1.08838,1.08677,1.08812,8902.31
2023-07-05 06:00:00+00:00,1.08814,1.08889,1.08713,1.08825,14666.56
2023-07-05 07:00:00+00:00,1.08826,1.09078,1.08823,1.08865,24944.76
2023-07-05 08:00:00+00:00,1.08865,1.0894,1.08662,1.08878,24005.15
2023-07-05 09:00:00+00:00,1.08878,1.08956,1.08754,1.08941,14589.0
2023-07-05 10:00:00+00:00,1.08943,1.08949,1.08774,1.08782,13969.62
2023-07-05 11:00:00+00:00,1.08782,1.08822,1.08753,1.0879,10537.28
2023-07-05 12:00:00+00:00,1.0879,1.09019,1.08756,1.08942,14921.71
2023-07-05 13:00:00+00:00,1.08942,1.09014,1.08856,1.08916,25935.81
2023-07-05 14:00:00+00:00,1.08914,1.0895,1.0867,1.08737,25659.24
2023-07-05 15:00:00+00:00,1.08736,1.0877,1.08649,1.0867,15315.32
2023-07-05 16:00:00+00:00,1.0867,1.0867,1.0859,1.08607,11725.28
2023-07-05 17:00:00+00:00,1.08608,1.08638,1.08582,1.08599,10831.85
2023-07-05 18:00:00+00:00,1.08598,1.08653,1.08509,1.08534,15171.91
2023-07-05 19:00:00+00:00,1.08535,1.08567,1.08525,1.0855,9594.28
2023-07-05 20:00:00+00:00,1.08548,1.08557,1.08529,1.08537,3101.58
2023-07-05 21:00:00+00:00,1.08535,1.08564,1.08526,1.08553,721.33
2023-07-05 22:00:00+00:00,1.08553,1.08571,1.08527,1.08529,2692.35
2023-07-05 23:00:00+00:00,1.08529,1.08561,1.0852,1.08551,3076.45
2023-07-06 00:00:00+00:00,1.08554,1.08559,1.08464,1.08489,9412.09
2023-07-06 01:00:00+00:00,1.08487,1.08506,1.08428,1.085,10906.58
2023-07-06 02:00:00+00:00,1.08499,1.08534,1.08458,1.0847,9321.45
2023-07-06 03:00:00+00:00,1.0847,1.0847,1.08399,1.084,8682.6
2023-07-06 04:00:00+00:00,1.08401,1.08435,1.08337,1.08431,11489.67
2023-07-06 05:00:00+00:00,1.08431,1.08563,1.08415,1.08553,12372.96
2023-07-06 06:00:00+00:00,1.08553,1.08691,1.08531,1.08672,17235.32
2023-07-06 07:00:00+00:00,1.08673,1.08753,1.08521,1.08556,23818.87
2023-07-06 08:00:00+00:00,1.08555,1.08656,1.08454,1.08639,23283.89
2023-07-06 09:00:00+00:00,1.0864,1.08686,1.08601,1.08616,17006.55
2023-07-06 10:00:00+00:00,1.08615,1.08899,1.08612,1.08867,22224.98
2023-07-06 11:00:00+00:00,1.08867,1.08977,1.08834,1.08952,18647.98
2023-07-06 12:00:00+00:00,1.08951,1.09006,1.08583,1.08737,53474.67
2023-07-06 13:00:00+00:00,1.08739,1.08877,1.08671,1.08833,42909.95
2023-07-06 14:00:00+00:00,1.08828,1.08828,1.08338,1.0868,41397.21
2023-07-06 15:00:00+00:00,1.0868,1.08781,1.08583,1.08722,24755.18
2023-07-06 16:00:00+00:00,1.08723,1.08859,1.08708,1.08723,17477.19
2023-07-06 17:00:00+00:00,1.08724,1.08821,1.08721,1.0882,9740.56
2023-07-06 18:00:00+00:00,1.08821,1.08856,1.08773,1.08807,8596.07
2023-07-06 19:00:00+00:00,1.08813,1.08888,1.08813,1.08883,7965.38
2023-07-06 20:00:00+00:00,1.08883,1.08924,1.08852,1.08883,3132.5
2023-07-06 21:00:00+00:00,1.08884,1.08889,1.08832,1.08882,205.23
2023-07-06 22:00:00+00:00,1.08887,1.08913,1.08884,1.08912,1690.28
2023-07-06 23:00:00+00:00,1.08912,1.08949,1.08896,1.08896,3870.34
2023-07-07 00:00:00+00:00,1.08895,1.08912,1.08823,1.08851,10045.75
2023-07-07 01:00:00+00:00,1.08849,1.08912,1.08848,1.08869,9306.46
2023-07-07 02:00:00+00:00,1.08869,1.08884,1.08834,1.08859,6988.72
2023-07-07 03:00:00+00:00,1.08859,1.08915,1.08858,1.08878,5992.43
2023-07-07 04:00:00+00:00,1.08876,1.08951,1.08855,1.0891,4920.01
